commit_id	added_line	deleted_line	guard_addition
d52c7b8c595cc0d06fc3607bf16e3f595f016bb6	154	26	0
3482370df5672c9337a16a8a52baba53b70a4fe8	2	0	0
8ead7af140c778542d3ea1244675320cd22b3042	2	2	0
a4b8d1e9bc67eb0eff159b5b35902cab19e3fc11	2	3	0
93012e43ea03411456c20e7cec1ede73ff46b7d2	26	0	0
c4982587bfe3cb6946daa2912fe46146edef7fbf	510	64	0
1e478d380bd497a3fe635b35b6e87e002cabf617	730	7	0
aed1b5fdf1e953d19bdd021ba603618772208cdd	0	0	0
c4e6cd2a1aca84a88983192368bbcd4c8887c8b2	0	0	0
9ff78249a0a5e87bd04bf9804ef1a3b29b5e1645	0	0	0
f8912ce9329a8bc360e93cf61e56814135fbab39	155	35	0
ea62d8862c311e3d9b64d622bea0a68d3825aa7d	146	6	0
4e23c9e4dba6ee772531d82980f73234bd41869a	757	30	0
eb91942f64972bef04c4e965dcdf788ae1f21a60	2	0	0
1143bc113dc456675a2f3a89c93fba8ce117ac3f	0	0	0
ed5f8347ef0c7175cd96e59bc8bfaf3ed1f4697a	158	49	0
fc7a69b65399597a2bf9c6025f035f8fe26724c7	3	0	0
7bb88deb4c6387fd67114543986774c903860de9	4	4	0
b8fb29a6ba1304010ac78df3cecba6ab2fece4cd	141	202	0
214a3abfcc25460af50805b543a5833697a1b341	103	31	0
38096da25bd72346628c001d5b310417f8f703cd	0	0	0
b8cbdde2b854229d950d7087ac1847f8453d2b1e	0	0	0
7068ef62548c1ff8d17be7d0a1e71a5f098010e6	32	4	0
06b3521acdb21dd3d85902d59146b9d08ad7d752	72	3	0
ab8348c578c0bb2d3baefaf387b4d9bc67f4c861	81	2	0
6efa99c7a753e3ec04b7d5b5f50461e90d416db2	3	2	0
28058608f13d2a5bbc0da2af344b92d3acad7e26	2	5	0
b9b2a4e1a07af518cebd4441469c940d5ac0c2ea	0	0	0
14bfc94937e039c25faac62ebd570ab788fdb537	0	0	0
df9475086de4c52bd050d7c31088950778dbb672	0	0	0
72fb86d5a585406ae49f3adcbaf6f78ef12295ff	2	0	0
81b6c9e994d16e114457dafb85886e03e5d6d2a7	0	0	0
9d498dced6cea77b027b8a74bf4ae9201c8afdf5	47	20	0
15c463cb0067097b1ec57a056c2585c48b8b9306	0	0	0
1b0b113facb2d8ad125b9baa0127ffe5abe8a16e	0	0	0
eb68c3126270e27fd9c88ef867bbcb8c7942a8e8	53	8	0
3a713827f48399f389ea851a19b8ec8cd2cc5773	263	2	0
e16f0ed0698c5cb47ab2bb0a0b04966d5bdbcde0	3	3	0
b2f6ce961f38a3e4cd744e102026bf7a471056c9	134	3	0
334dca9aa825e6d353aa04fd97016ac1077ff132	6	6	0
e42d9e7d696baa8d7b81c058cfbe2f1091671c15	0	0	0
eaf9bf18b2ec50713170a9ca472c34586b17a5a3	34	2	0
9b5ba6ca51e6e35116fbac715cb0e1d3b7eb94f3	0	0	0
00e5a3d508eb41944ce01c6cc96ae18cb16dad8c	3	0	0
28ccf3fe3989d9d80063fe4d4bb048efe471936b	37	11	0
594cde7937de6f848998bac35d35591f8a18aa10	95	19	0
845243db93a5add273f6edcf3cd0361c5f23cf0b	0	0	0
22bb413ba29aa6a95034b7dac833a8273983fa42	3	0	0
edcb90f0813b88bbd42e9ebc55507b0f03ccb7bc	5	10	0
34a1d5da58fb8edcad39633084541bb4162f5ede	19	18	0
b3e99085a5c34754fbbc2350f0e69c1691b06a11	0	0	0
2e5e11d66d41038bee8d2f81eb013f735d233def	9	0	0
28bd6c2a031e76b725dd773b949070962555698a	9	0	0
ac77e5e7742548f7c7c25da3923841f59d4b2713	6	5	0
68079e4b2ed4e58dbede70af45414b3d4214e195	54	2	0
5cbe08b6a84cfa51ffd952a7c997b9a5f5e46e92	17	0	0
bd0804065daaa01ba478c0ed97f7411f1180eef9	273	113	0
3153c630c499edf3c523d8e5a3db6f1d6c52ad4c	47	9	0
29d6237a00b577400c4b4a63989d41f1baa2aa60	2	2	0
15bd10afbfc5eda024e7048438b00bfc81a9e3ea	2	2	0
19d26bcb80219bce0089fbe8942a34e3a331fd17	0	0	0
1d05bdab2329a8d30772e079ccd9e64ed80438eb	0	0	0
fdc61cb6a74163402181d133519462f0ab1b504d	3	3	0
4c6a10af8bd5247348d5445e6fd3a2f141e50bc1	456	0	0
3d7471a56b7a58b41047ff704ebe4b0a89bda6f9	0	0	0
3fa7c0894449b5c6033a6c4f47ec3292d07268b8	34	7	0
58e6c55e17d6b75328b065e093d51c08b8844004	158	35	0
2c150980cc1bfea81fd039f304e74fc2fb30fb45	22	0	0
d7740052ff6cee74fb6ab973f1052422180d75bc	0	0	0
00c90c16e99fdfb153cb418f0e3486b62183986e	74	3	0
c67338989f17257d3be95212ca6ecb4b83009326	5	2	0
85fafd0c134cae5aa84133ad54d67f2dba28c953	7	6	0
d6982cd221ae6482cbe1cb796fe73d61160a89e0	0	0	0
f88ec9357de406daad0f795951f17e5f854ade10	83	5	0
79cead093e9a2fe8273f9c2ea85e7d8d9f8fabf2	0	0	0
d73f45bad4cd6d8cf1cea7d9b35b76075dc277e1	73	85	0
9715fc09b158d04796028d06b4bb4a46a7c3cccc	0	0	0
0ab9fc4b73eeadff369435bcdf8b03310a34940c	9	6	0
515f07b5ac75b15015401e89c379b29c788ba5a3	400	3	0
4bbd28a043f15dd6c19de157acb5950319e8c16c	0	0	0
1d506f9d09c880ff2b2693e3e27fa58c02ecf398	28	3	0
d10e6ac606c6b484c75bb850de7a754b75ad5eca	2	2	0
890f319142ddd3cf2692ff45ff28e71001365e96	6	6	0
8a5e88f635fdb984505a99a553b5799cedccd06d	47	45	0
91e83c72de109521074b14a8eeae1309c3b1f215	0	0	0
fa39b6e2775abef6323598461f8fadbcbbe793e5	9	2	0
b2949439ec62077128103540e42570238520f4ee	759	44	0
21978bf9bba520c3d7e838ee6b15536d5b807ef4	60	0	0
40148a178bd9b74b731591aa46b4158efb16b742	2	2	0
9d649d69a56a91fcb06a3582b22606f0fe361f49	183	59	0
7885a703d6dae8c3c6e5a6af632c6a23342593fc	10	0	0
7df36056b12a13b60097b7a9a4f8155a1d02ff62	2	2	0
28ee665b3c0c9238b61a871064f024d54cddcc79	35	149	0
6b00767427706124e016e4f471c2266899387163	5	0	0
5ba9e6da94ed74c11f6ea37199dbe8a501859e7c	0	0	0
0628520a9be69bb42a0ba73859888a5a8af83b27	0	0	0
e7b9c1f50a9875682b480a3ab69e662f4b097d4d	187	37	0
0d728c194349b210ffc85f892c8492dca39b31f6	0	0	0
fc3357a00e2b6e56d399f07c5b81a82780c1e143	23	2	0
f8d73a3acb00d807d09aa33e1612c89389b18480	0	0	0
51bf51813c4a7a9f9ad3adfe8ddac171b398816b	2	2	0
5133526733f7ff24062acb5aa57fcfff050ac424	11	6	0
fe0ee85c71faada0acb48a65f249575c65bf0972	33	14	0
62e46f71903b339d962c4dcb3d2c04991c391a68	116	88	0
fde05f4f1b4ad814acf79bed61500aaf2ebe39d6	0	0	0
9337ca316a24a2a08f3c19cec2170ca1db80976b	17	6	0
e208a6a210d172b991b40fb66a4763e30b3e4d7d	14	16	0
5b4485b29ecf36b750a75435580d82e749a825e8	0	0	0
0521f8dc5d5e05c0530726e9549fa2481726a818	138	11	0
b800f3c768289268193b0dd716be99a33f306dad	169	31	0
db788fe860dfd69f06ab97ae35fa67fcf2517b6d	448	127	0
e646e5032b68622f7ec1dd0c53137be08baabed9	290	56	0
35e6d61361e699908d73c277da7d9ac3390f6e5d	67	4	0
4a2b516a3488ab04ee3338e74397b8c6d69e6d43	149	37	0
